; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168243,"CurrentTimeLocal","Tue Sep 15 13:10:43 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00048
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.0006,61.878651,66.206752,0.714844,1.249346,1.176846,0.610283,0.354162,132.195124,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.00062,61.896291,66.199692,0.702944,1.226986,1.221786,0.612383,0.316722,132.181104,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.0006,61.822651,66.111872,0.710163,1.200166,1.192466,0.608944,0.348621,131.999363,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.00062,61.80855,66.179872,0.701384,1.236086,1.241986,0.639163,0.359262,132.170603,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.00058,61.83821,66.179773,0.710363,1.236906,1.182926,0.610363,0.316542,132.079303,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.00092,61.949691,66.317353,0.695283,1.233966,1.184566,0.608963,0.349362,132.343944,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.00058,61.80817,66.165052,0.716004,1.225906,1.286386,0.616524,0.322241,132.144463,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.0006,61.85835,66.121612,0.700184,1.224706,1.167706,0.612623,0.315522,132.005023,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.0006,61.888011,66.216152,0.706644,1.235046,1.170226,0.613103,0.322982,132.156524,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.00074,61.871351,66.167312,0.699264,1.229146,1.176826,0.608763,0.314101,132.071183,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.00066,61.75513,66.195313,0.712703,1.191346,1.190606,0.610023,0.354762,132.014263,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.0006,61.81085,66.179032,0.711644,1.256126,1.207166,0.626063,0.345102,132.140303,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.00062,61.86437,66.108332,0.714504,1.241146,1.179966,0.611423,0.321482,132.045543,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.00074,62.151992,66.560114,0.701864,1.247546,1.168626,0.611383,0.320981,132.766886,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.01384,15.426977,16.293002,0.651564,2.648873,0.374762,0.258361,0.257601,35.92904,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.01522,15.107116,16.089621,0.561742,0.468383,0.366342,0.255801,0.196621,33.064766,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.00056,15.001415,16.078001,0.301902,0.438442,0.371142,0.255281,0.188681,32.638964,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.00056,14.961375,16.073181,0.299081,0.454342,0.370282,0.255021,0.187221,32.604844,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.00058,14.938775,16.01278,0.298202,0.458902,0.373622,0.255621,0.205001,32.547183,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.00064,14.960955,16.03136,0.297422,0.436182,0.373402,0.254941,0.216561,32.574983,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.00058,15.022456,16.02412,0.297402,0.435602,0.375542,0.254681,0.188321,32.602224,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.00054,14.963515,16.057421,0.295081,0.460263,0.370101,0.254882,0.188541,32.593944,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.0006,14.946635,16.03446,0.296462,0.468862,0.370302,0.254521,0.189001,32.564483,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.00058,14.934975,15.988561,0.296661,0.456043,0.370341,0.255602,0.185781,32.492184,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.0006,14.960555,16.01562,0.296722,0.464562,0.372062,0.255801,0.185501,32.554963,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.00062,15.017696,16.03186,0.297142,0.433122,0.371322,0.255061,0.182381,32.592804,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.00066,14.961255,15.98258,0.296202,0.460622,0.370842,0.255061,0.185121,32.515943,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.00058,15.004756,16.01556,0.296042,0.462502,0.370662,0.255001,0.189681,32.598384,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.00066,14.961135,16.058981,0.297041,0.456963,0.369482,0.254901,0.187761,32.590524,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.0006,14.945815,16.079321,0.296021,0.453163,0.371061,0.254742,0.188101,32.592424,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.00062,14.949715,15.99616,0.297362,0.448902,0.369842,0.254621,0.187921,32.508803,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.0006,14.977995,16.020681,0.295501,0.461103,0.373422,0.254961,0.212201,32.600024,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.00062,14.975935,16.02206,0.295362,0.459222,0.375802,0.255381,0.188461,32.576503,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.00056,14.960116,16.04908,0.297362,0.458942,0.368862,0.255801,0.188481,32.582844,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.01428,18.245472,21.81493,0.797344,0.569762,0.457963,0.333501,0.297522,42.534574,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.01742,18.345692,21.97059,0.429102,0.522403,0.456822,0.342742,0.245101,42.333592,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.00056,18.241771,21.93395,0.372942,0.519403,0.448542,0.332562,0.232481,42.085771,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.00058,18.213892,21.88729,0.372942,0.495542,0.457782,0.331941,0.227061,41.990611,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.00082,18.267832,21.860669,0.369302,0.555283,0.456762,0.332802,0.217181,42.065031,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.0006,18.259231,21.89511,0.372002,0.498743,0.476362,0.331422,0.232441,42.069491,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.00058,18.198212,21.858049,0.373402,0.548023,0.454762,0.331542,0.230941,41.999111,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,1,"Success",0.00062,18.182131,21.82467,0.375002,0.512782,0.455282,0.329522,0.216681,41.90033,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,1,"Success",0.0006,18.285392,21.92139,0.374142,0.552522,0.452103,0.329981,0.232681,42.152571,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,1,"Success",0.00058,18.263252,21.885349,0.373162,0.547703,0.455742,0.331562,0.231741,42.092671,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,1,"Success",0.0006,18.233011,21.951691,0.371361,0.518943,0.455942,0.331842,0.231201,42.098291,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,1,"Success",0.00058,18.239911,21.88637,0.370182,0.541003,0.456222,0.331822,0.230041,42.059671,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,1,"Success",0.00058,18.193051,21.89185,0.370782,0.529903,0.462222,0.333242,0.229881,42.015231,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,1,"Success",0.0006,18.251592,21.93681,0.372422,0.470143,0.457702,0.338442,0.234701,42.066072,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,1,"Success",0.00056,18.209772,21.91629,0.371762,0.497082,0.453442,0.332362,0.230561,42.015451,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,1,"Success",0.00056,18.185791,22.00019,0.371302,0.475763,0.453142,0.329522,0.231841,42.051731,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,1,"Success",0.00062,18.155211,21.84893,0.371702,0.535383,0.454962,0.331421,0.230102,41.931911,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,1,"Success",0.00062,18.206251,21.91079,0.371262,0.547783,0.455182,0.331982,0.228301,42.055791,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,1,"Success",0.00056,18.241391,21.92021,0.371082,0.518843,0.455982,0.330762,0.231141,42.073651,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,1,"Success",0.00054,18.225372,21.94131,0.371482,0.467762,0.456603,0.332121,0.234841,42.033631,2612288,0,2593080,1.5230038673e-16,0
