; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.003443,295.822677,263.516835,0.000362,0.00961,0.009825,0.000348,0.006203,559.369984,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.004337,295.691818,264.14485,0.000369,0.009331,0.010001,0.00027,0.007606,559.86905,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.003503,296.067335,264.430777,0.000344,0.009139,0.010423,0.000576,0.006097,560.528758,4800,0,4800,5.5473227317e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.003609,295.464791,263.183048,0.000353,0.008478,0.010196,0.000304,0.00666,558.678069,4800,0,4800,5.5327430402e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.004216,296.203945,262.995432,0.000372,0.008527,0.011898,0.000318,0.007253,559.232418,4800,0,4800,5.7677755729e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.004312,295.562501,264.02406,0.000422,0.008936,0.010556,0.000579,0.044229,559.656162,4800,0,4800,5.3319497724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.003432,295.396788,265.594217,0.000366,0.009177,0.011385,0.000557,0.007559,561.02396,4800,0,4800,5.7064465706e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.00373,355.82725,314.200259,0.000506,0.0163,0.011294,0.000249,0.040524,670.10062,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.00376,355.282934,318.300886,0.00043,0.010175,0.01108,0.0003,0.012155,673.622186,6400,0,6400,2.6397893049e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.003652,355.553481,321.02901,0.000471,0.010822,0.011037,0.000697,0.048977,676.658644,6400,0,6400,2.7449255674e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.003724,355.885373,314.480554,0.000563,0.009538,0.013261,0.000262,0.025122,670.418877,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.003824,354.811389,314.45022,0.000485,0.010353,0.011104,0.000286,0.012743,669.300859,6400,0,6400,2.3428884395e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.003668,354.599476,316.978431,0.000456,0.010281,0.011255,0.000289,0.047204,671.651579,6400,0,6400,2.606271223e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.003721,355.946657,313.825239,0.000557,0.017329,0.017918,0.000293,0.051162,669.863397,6400,0,6400,1.5033364176e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.003747,355.553203,319.343569,0.000572,0.009756,0.011783,0.000691,0.034899,674.95877,6400,0,6400,2.4474845879e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.003597,356.085074,315.55219,0.000509,0.009963,0.01749,0.000349,0.034633,671.704334,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.003779,355.875668,317.861334,0.000536,0.01802,0.01102,0.000337,0.049852,673.821062,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.003739,358.805064,313.543186,0.000426,0.010016,0.011525,0.000322,0.007031,672.381786,6400,0,6400,2.3129340268e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.003573,355.945569,315.407947,0.000431,0.009624,0.010971,0.000279,0.033336,671.412244,6400,0,6400,2.9093255899e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.003717,356.481956,315.048237,0.000468,0.010496,0.009945,0.000298,0.013421,671.569006,6400,0,6400,1.6979508239e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.003795,354.477927,314.697541,0.000503,0.009763,0.015695,0.000278,0.00618,669.212198,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.003531,354.128645,315.523183,0.000437,0.01021,0.010948,0.000295,0.068204,669.745994,6400,0,6400,1.6979508239e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.003712,354.942537,314.553688,0.00044,0.010249,0.011465,0.000281,0.032738,669.555651,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.003769,355.208988,314.709421,0.000416,0.015794,0.018496,0.000267,0.062031,670.026068,6400,0,6400,2.9093255899e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.00358,355.341409,315.036823,0.000521,0.010012,0.011799,0.000551,0.006522,670.417248,6400,0,6400,2.7449255674e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.003783,355.868266,315.541935,0.000442,0.01072,0.016996,0.000325,0.007094,671.450065,6400,0,6400,1.6979508239e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.003847,355.684174,315.139043,0.00046,0.009943,0.01123,0.000714,0.006382,670.856267,6400,0,6400,2.4474845879e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.003574,250.767506,222.311927,0.000499,0.011377,0.011527,0.000374,0.007226,473.114499,8000,0,8000,6.1061593588e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.003728,249.758873,222.381688,0.000531,0.011229,0.017306,0.000345,0.02987,472.210502,8000,0,8000,5.9174088625e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.003514,250.676747,222.017316,0.000525,0.011051,0.011062,0.000331,0.036894,472.757965,8000,0,8000,6.5311474051e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.003761,250.631643,224.519018,0.00061,0.011572,0.011977,0.000353,0.006478,475.185911,8000,0,8000,5.3407800601e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.014557,250.040418,222.077025,0.000542,0.01767,0.01243,0.000352,0.043059,472.206565,8000,0,8000,5.9792981341e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.003705,250.710979,222.774604,0.000566,0.016956,0.012833,0.000326,0.031702,473.552169,8000,0,8000,6.1061593588e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.01404,249.859443,222.293385,0.000545,0.010837,0.012362,0.000335,0.006863,472.198249,8000,0,8000,6.1288439099e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.003659,250.553515,223.539405,0.00064,0.011356,0.011984,0.000389,0.006244,474.127729,8000,0,8000,6.6739984347e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.00424,250.128082,222.688785,0.000569,0.010607,0.012314,0.000424,0.021184,472.866788,8000,0,8000,6.399731e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.01424,250.804605,222.144925,0.000513,0.010935,0.012935,0.000324,0.02923,473.018231,8000,0,8000,5.9174088625e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.003582,250.931482,222.201428,0.000534,0.010689,0.017406,0.000359,0.024872,473.190822,8000,0,8000,5.8720357505e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.003826,251.074623,222.345675,0.000556,0.011041,0.013244,0.000401,0.047827,473.497742,8000,0,8000,5.5032845364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.003574,250.561993,222.89381,0.000564,0.011595,0.018022,0.000406,0.006737,473.497222,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.003702,250.192576,222.491673,0.000564,0.010963,0.012159,0.000372,0.006249,472.718792,8000,0,8000,5.8720357505e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.004377,250.138938,222.857881,0.000576,0.010728,0.012308,0.000381,0.021415,473.047124,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.014126,249.778887,222.19701,0.000526,0.010665,0.011216,0.000377,0.027719,472.040978,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.003569,250.134883,223.385176,0.000578,0.011688,0.012171,0.00038,0.02715,473.576203,8000,0,8000,5.5032845364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.00425,250.665226,222.669746,0.000475,0.015646,0.020715,0.00037,0.046695,473.423705,8000,0,8000,5.3407800601e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.003774,252.071583,223.028261,0.000568,0.012449,0.012342,0.000413,0.034398,475.164333,8000,0,8000,6.6739984347e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.003555,250.575873,222.722792,0.00051,0.011282,0.011321,0.000379,0.026914,473.353187,8000,0,8000,6.7343664013e-17,0
