; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161975,"CurrentTimeLocal","Tue Sep 15 11:26:15 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.003515,9.018004,8.651539,0.289196,0.309037,0.173561,0.251661,0.14949,18.846461,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.003451,9.017094,8.670631,0.287548,0.310723,0.174152,0.239265,0.158143,18.861487,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.003449,9.012763,8.664636,0.289283,0.307122,0.174544,0.2378,0.16078,18.850769,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.003482,9.013917,8.696204,0.289455,0.307186,0.172978,0.232486,0.162317,18.87844,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.003519,9.011075,8.676548,0.290516,0.311223,0.173532,0.235154,0.160066,18.862112,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.003535,9.016769,8.681951,0.288134,0.30963,0.175168,0.231691,0.159597,18.866898,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.003426,9.012732,8.682873,0.291946,0.299479,0.174321,0.228935,0.152819,18.846939,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.003497,9.015435,8.623174,0.291656,0.37867,0.174566,0.230825,0.151016,18.869231,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.003455,9.020303,8.535764,0.281162,0.31099,0.17429,0.228027,0.152881,18.707309,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.003498,9.019537,8.580593,0.282278,0.320483,0.174729,0.229663,0.15104,18.762269,2041200,0,2025000,1.2852379761e-16,0
