; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.7e-05
; "Time_ContextDestroy [ms]", 4.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.003526,297.321115,268.850009,0.000311,0.00917,0.011139,0.000388,0.007216,566.232084,4800,0,4800,5.3700015424e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.003652,298.123821,267.96138,0.000432,0.009519,0.020783,0.00032,0.007046,566.159405,4800,0,4800,5.2254872588e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.003947,352.068343,310.66615,0.000475,0.009438,0.010465,0.000314,0.007024,662.796513,6400,0,6400,2.6397893049e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.003784,351.742875,312.058018,0.000436,0.0096,0.011649,0.00036,0.012194,663.869132,6400,0,6400,2.013612598e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.003997,355.143443,311.060157,0.000435,0.015594,0.011493,0.000324,0.007102,666.272273,6400,0,6400,1.5181562821e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.003837,353.617768,310.685679,0.000489,0.010222,0.016674,0.000289,0.013434,664.378648,6400,0,6400,3.5753732501e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.003815,351.998041,310.416134,0.000421,0.009933,0.017851,0.000368,0.012572,662.493338,6400,0,6400,1.6979508239e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.003754,352.229441,312.291068,0.000451,0.009961,0.010257,0.000324,0.006834,664.582021,6400,0,6400,2.606271223e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.003632,351.871487,311.597946,0.000474,0.010194,0.01752,0.000333,0.007033,663.538578,6400,0,6400,2.013612598e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.003818,350.651511,310.928753,0.000411,0.009371,0.01192,0.000601,0.006439,661.642825,6400,0,6400,1.7330967513e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.004111,353.765702,311.243865,0.000415,0.009876,0.019587,0.000341,0.00715,665.085177,6400,0,6400,2.6397893049e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.003663,358.233278,311.507143,0.000438,0.009764,0.011711,0.007592,0.005872,669.810353,6400,0,6400,2.4474845879e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.00383,351.826141,309.753017,0.000421,0.009865,0.019868,0.000328,0.012193,661.655541,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.003824,358.225992,310.728096,0.000386,0.009642,0.018408,0.000283,0.006979,669.023622,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.003649,352.743806,310.918378,0.000408,0.009988,0.011292,0.00037,0.0121,663.730952,6400,0,6400,2.9093255899e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.003764,354.278706,311.297544,0.000398,0.010035,0.018849,0.000738,0.013351,665.657248,6400,0,6400,2.4474845879e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.003755,353.254606,310.845709,0.000381,0.009893,0.018132,0.000713,0.006854,664.170079,6400,0,6400,2.4474845879e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.003673,351.860552,310.467572,0.000441,0.009335,0.009689,0.000357,0.006891,662.389008,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.004075,352.593923,311.436738,0.000397,0.009814,0.011509,0.000609,0.006325,664.09284,6400,0,6400,2.0810378364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.003806,351.927083,312.317861,0.000412,0.009335,0.01127,0.000345,0.014159,664.313995,6400,0,6400,2.013612598e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.003714,350.20419,311.302261,0.000463,0.009956,0.01073,0.000362,0.012222,661.577148,6400,0,6400,1.6592854958e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.004051,352.654848,311.672166,0.000426,0.009655,0.017715,0.000326,0.007516,664.396912,6400,0,6400,1.6979508239e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.003778,247.977839,220.332384,0.000549,0.011091,0.015835,0.000347,0.006252,468.378519,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.003623,247.664754,220.991059,0.000512,0.011851,0.011995,0.000334,0.006646,468.721015,8000,0,8000,5.648450094e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.004362,248.518359,221.974057,0.000501,0.011028,0.011039,0.000348,0.006904,470.567249,8000,0,8000,5.5032845364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.003766,248.147341,220.904674,0.000504,0.011449,0.011921,0.000329,0.007743,469.119026,8000,0,8000,5.8658831138e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.003611,247.821235,221.02815,0.000503,0.011318,0.012606,0.000345,0.007072,468.914444,8000,0,8000,5.8274222339e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.003782,248.083407,221.914393,0.000464,0.011988,0.011827,0.000346,0.007321,470.063128,8000,0,8000,6.399731e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.003639,247.84964,220.781343,0.000522,0.011875,0.017584,0.000332,0.007691,468.702477,8000,0,8000,5.3407800601e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.003785,248.683277,223.691295,0.000531,0.017649,0.012318,0.00038,0.006953,472.462607,8000,0,8000,6.1202937056e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.003748,248.53021,221.226483,0.00052,0.017644,0.012079,0.000328,0.007327,469.828248,8000,0,8000,5.8645359143e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.00384,247.734248,220.595928,0.00047,0.012629,0.018335,0.000349,0.007312,468.408164,8000,0,8000,5.5032845364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.003581,248.600556,220.850468,0.000478,0.01368,0.017822,0.000351,0.00619,469.528387,8000,0,8000,5.5032845364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.003779,248.902348,221.089089,0.000523,0.011921,0.011908,0.000331,0.007342,470.056409,8000,0,8000,5.6784363264e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.003611,248.225258,220.717547,0.000483,0.011338,0.012115,0.000333,0.007013,469.014838,8000,0,8000,5.8569191305e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.003717,250.414339,220.665256,0.00048,0.01205,0.012803,0.000693,0.007996,471.147099,8000,0,8000,5.4980124695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.003579,248.456959,220.819505,0.000573,0.013207,0.011699,0.000424,0.007926,469.343512,8000,0,8000,5.9792981341e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.003762,247.536012,220.905537,0.00051,0.011324,0.01111,0.000339,0.013817,468.512814,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.0144,248.048811,221.218568,0.000466,0.011701,0.018095,0.000335,0.00766,469.349989,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.003816,247.638967,221.432179,0.000534,0.017375,0.01144,0.000392,0.007924,469.143698,8000,0,8000,5.5072826669e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.003639,248.073659,221.234579,0.000468,0.011264,0.013324,0.000365,0.006939,469.374202,8000,0,8000,5.3964737045e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.003654,248.517311,221.345934,0.000501,0.016884,0.011431,0.000377,0.007652,469.933738,8000,0,8000,5.8720357505e-17,0
