; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",1040531456,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536577323,"CurrentTimeLocal","Mon Sep 10 14:02:03 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.002875
; "Time_ContextDestroy [ms]", 0.003542
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.001375,1.581117,0.846474,0.001416,0.001458,0.001084,0.001,0.004667,2.44959,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.001375,1.507327,0.831349,0.001625,0.001333,0.001083,0.001,0.004541,2.359843,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.001375,1.513494,0.825849,0.001375,0.001334,0.001083,0.000958,0.004875,2.360635,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.001708,1.466663,0.825183,0.001334,0.001125,0.001042,0.000959,0.004084,2.312428,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.001209,1.579784,0.854473,0.001125,0.001333,0.001041,0.001,0.004375,2.454631,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.001125,1.550827,0.822016,0.001125,0.001417,0.001083,0.001042,0.00475,2.393592,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.001749,1.496661,0.82764,0.001125,0.001375,0.001042,0.000958,0.004542,2.345843,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.001333,1.513828,0.825516,0.001208,0.001167,0.001083,0.001209,0.0045,2.360301,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.004458,1.915899,0.800808,0.00175,0.002125,0.001167,0.001,0.006167,2.74833,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.001583,1.549743,0.762393,0.001125,0.002,0.001208,0.000958,0.004417,2.334594,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.001667,1.485537,0.777059,0.001292,0.001708,0.001208,0.001041,0.004083,2.28372,64,0,64,0,0
