; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404351811584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586917742,"CurrentTimeLocal","Wed Apr 15 04:29:02 2020","Hostname","csk064.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.5e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",9.3e-05,1.220147,1.215741,7.6e-05,7.9e-05,6.1e-05,6.1e-05,0.000558,2.437152,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000172,1.278322,1.272058,7.3e-05,0.000229,6.8e-05,6.3e-05,0.000597,2.551961,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000119,1.296728,1.238756,5.8e-05,7.2e-05,8e-05,7.9e-05,0.000551,2.53681,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000138,1.294958,1.301968,7.6e-05,0.000205,5e-05,5.6e-05,0.00054,2.598348,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000129,1.289662,1.31428,5e-05,7.4e-05,6.8e-05,7.1e-05,0.000561,2.605253,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000117,1.277692,1.268063,6.3e-05,0.000139,5.6e-05,5.6e-05,0.000571,2.547116,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000113,1.2734,1.264591,5.9e-05,9.4e-05,6.7e-05,7.8e-05,0.000499,2.539257,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000117,1.285449,1.267918,5.1e-05,0.000192,6.5e-05,5.9e-05,0.00052,2.55473,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000106,1.272665,1.291707,7.8e-05,8e-05,8e-05,7.9e-05,0.000531,2.565687,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",9.7e-05,1.277727,1.297473,4.9e-05,0.000198,6.1e-05,5.9e-05,0.000557,2.576543,64,0,64,0,0
