; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586040745,"CurrentTimeLocal","Sun Apr  5 00:52:25 2020","Hostname","csk017.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.9e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,11,73,"Success",0.005438,424.527192,111.608444,146.169442,635.705774,645.217369,79.634121,2.639651,2045.509672,376367048,0,376367048,1.2569938623e-07,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",4.9e-05,0.010027,0.009112,4.8e-05,8.4e-05,4.1e-05,5.5e-05,0.000286,0.019981,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",7.1e-05,0.010063,0.009131,4.7e-05,8.5e-05,4e-05,5.5e-05,0.000292,0.020098,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",5.1e-05,0.010418,0.009049,5.8e-05,8.5e-05,5.4e-05,5.7e-05,0.000284,0.020363,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",8.6e-05,0.010109,0.009224,5.4e-05,7.2e-05,4.2e-05,4.6e-05,0.000282,0.020236,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",5.2e-05,0.010113,0.009135,4.7e-05,7.2e-05,6.9e-05,5.7e-05,0.000309,0.020139,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",8e-05,0.010164,0.009157,4.6e-05,8.6e-05,4.2e-05,5.5e-05,0.000299,0.020248,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",7.2e-05,0.010199,0.009255,4.7e-05,8.6e-05,4e-05,4.9e-05,0.000299,0.020358,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",8.4e-05,0.010162,0.009135,4.9e-05,8.5e-05,4.2e-05,4.1e-05,0.000318,0.020216,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",6.9e-05,0.010186,0.009134,4.7e-05,8.5e-05,4.6e-05,5.3e-05,0.000293,0.0202,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000111,0.010328,0.009085,0.0001,8.6e-05,4.7e-05,5.6e-05,0.000295,0.020405,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",5.3e-05,0.010287,0.009112,5.2e-05,7.4e-05,4.8e-05,5.4e-05,0.000287,0.020244,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",8.1e-05,0.010136,0.009101,5.1e-05,8.6e-05,4.8e-05,5.6e-05,0.000297,0.020169,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000128,0.015358,0.012527,8.7e-05,0.000179,9.9e-05,8.4e-05,0.000426,0.029243,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",8.8e-05,0.012985,0.011635,6.4e-05,0.000114,8.6e-05,5.3e-05,0.000389,0.025761,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",9.7e-05,0.012867,0.011534,4.6e-05,0.000113,7e-05,5.3e-05,0.000371,0.025452,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",6.5e-05,0.012735,0.011613,4.6e-05,0.000113,5.1e-05,5.5e-05,0.000341,0.025345,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",6.1e-05,0.012513,0.011501,6.3e-05,0.000113,5.7e-05,5.3e-05,0.00032,0.025032,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",6.1e-05,0.012794,0.011529,7.1e-05,8.9e-05,5e-05,5.1e-05,0.000369,0.025366,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",5.7e-05,0.012531,0.011436,5.2e-05,7.9e-05,5.1e-05,3.8e-05,0.000303,0.024866,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",5.7e-05,0.012497,0.011426,4.6e-05,9e-05,5e-05,4.3e-05,0.000301,0.024815,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",4.9e-05,0.012615,0.011596,5.4e-05,9e-05,5.1e-05,4.9e-05,0.000305,0.025115,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",5e-05,0.012626,0.011546,5.3e-05,8.8e-05,5.1e-05,4.5e-05,0.000306,0.025082,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",5e-05,0.012371,0.01142,5.3e-05,8.4e-05,5.1e-05,4.7e-05,0.000346,0.024756,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",5.1e-05,0.012529,0.011486,6.1e-05,8.8e-05,5e-05,4.3e-05,0.000327,0.024934,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000136,0.017906,0.014643,0.000115,0.00028,0.000151,0.000198,0.00052,0.034289,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",9.1e-05,0.0154,0.013774,6.5e-05,0.000126,7.8e-05,5.7e-05,0.000418,0.030289,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",7.9e-05,0.014957,0.013619,5.2e-05,0.00013,8.9e-05,4.2e-05,0.00039,0.029639,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",7.2e-05,0.014992,0.013699,5.1e-05,0.000131,6.5e-05,6.3e-05,0.000407,0.02976,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",5.5e-05,0.014817,0.013499,5.4e-05,0.00013,6.4e-05,5.9e-05,0.000384,0.029337,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000102,0.015275,0.013713,5.1e-05,0.000133,7.5e-05,6.5e-05,0.000395,0.030101,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",6.9e-05,0.014922,0.013527,6e-05,0.000101,7.4e-05,5.8e-05,0.00037,0.029459,128,0,128,0,0
