; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586036588,"CurrentTimeLocal","Sat Apr  4 23:43:08 2020","Hostname","csk004.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,9,0,"Success",6.4e-05,0.096116,0.067161,8.6e-05,0.030865,0.031987,7.7e-05,0.003165,0.229956,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,10,0,"Success",6.5e-05,0.070241,0.067579,7.8e-05,0.031656,0.031348,0.00017,0.00335,0.205395,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,11,0,"Success",6.6e-05,0.069901,0.067538,5.6e-05,0.044706,0.032313,0.000452,0.002795,0.21816,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,0,1,"Warmup",0.000124,0.111289,0.081144,0.000163,0.030903,0.075524,0.000182,0.008399,0.308313,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,1,1,"Warmup",9.8e-05,0.083053,0.079323,7.7e-05,0.03115,0.033519,0.000171,0.004944,0.232766,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,2,1,"Success",8.7e-05,0.103587,0.07861,6e-05,0.029147,0.032457,5.1e-05,0.004243,0.249154,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,3,1,"Success",9.9e-05,0.081291,0.078286,6.3e-05,0.029574,0.031999,0.000168,0.006423,0.228377,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,4,1,"Success",6.6e-05,0.081287,0.102262,5.3e-05,0.030593,0.031751,0.000158,0.004682,0.251638,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,5,1,"Success",8.9e-05,0.081725,0.078693,5.8e-05,0.032276,0.032001,0.000136,0.005225,0.231084,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,6,1,"Success",8.6e-05,0.081316,0.078213,4.6e-05,0.031702,0.031819,5.2e-05,0.018749,0.242631,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,7,1,"Success",9.4e-05,0.081527,0.078371,5.4e-05,0.030888,0.033271,0.000142,0.006304,0.231217,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,8,1,"Success",8.6e-05,0.08086,0.078067,5.9e-05,0.029505,0.032692,5.4e-05,0.005139,0.227544,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,9,1,"Success",0.000109,0.08158,0.078308,6.4e-05,0.030204,0.031741,0.000102,0.007311,0.230233,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,10,1,"Success",0.000101,0.0811,0.078201,5.6e-05,0.031568,0.030521,0.000257,0.006196,0.228845,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,11,1,"Success",9.5e-05,0.081284,0.078062,6.5e-05,0.03001,0.032426,0.0001,0.007505,0.230376,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,0,2,"Warmup",0.000173,0.098142,0.091212,0.000116,0.030939,0.033092,0.000171,0.004394,0.258808,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,1,2,"Warmup",9.9e-05,0.094042,0.090307,0.0001,0.031036,0.032211,0.000103,0.008543,0.257067,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,2,2,"Success",0.000131,0.093871,0.089972,6.2e-05,0.028736,0.030981,0.000172,0.00549,0.250017,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,3,2,"Success",0.000114,0.093391,0.090147,6.4e-05,0.030669,0.031172,5.7e-05,0.007306,0.253385,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,4,2,"Success",0.000106,0.093947,0.08953,5.7e-05,0.029182,0.033556,0.000156,0.005708,0.253014,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,5,2,"Success",8.7e-05,0.09251,0.089473,6.5e-05,0.031581,0.032646,0.00021,0.004537,0.251716,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,6,2,"Success",9.9e-05,0.092897,0.089633,6.8e-05,0.030605,0.030189,0.000106,0.005987,0.250052,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,7,2,"Success",7.4e-05,0.092426,0.089652,8.2e-05,0.03299,0.033418,0.000226,0.005183,0.254616,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,8,2,"Success",0.000106,0.093079,0.089873,7e-05,0.031204,0.032226,7.7e-05,0.00412,0.251277,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,9,2,"Success",9.9e-05,0.092511,0.089437,6.2e-05,0.031199,0.031914,0.000108,0.004957,0.250811,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,10,2,"Success",9.7e-05,0.110053,0.08939,6.2e-05,0.030091,0.031323,0.00018,0.007125,0.269138,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,11,2,"Success",8.6e-05,0.092874,0.089812,5.7e-05,0.031106,0.032578,0.000172,0.006294,0.253773,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,0,3,"Warmup",0.000142,0.11573,0.109876,0.000157,0.030971,0.030239,0.000178,0.00679,0.29491,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,1,3,"Warmup",0.000114,0.13756,0.108749,9.6e-05,0.031831,0.032582,0.000238,0.005586,0.31745,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,2,3,"Success",8.5e-05,0.110631,0.107741,9.7e-05,0.030736,0.032439,0.00018,0.00653,0.289185,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,3,3,"Success",0.000124,0.111232,0.107982,8.8e-05,0.031139,0.03305,0.000178,0.005803,0.29057,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,4,3,"Success",9.4e-05,0.111612,0.107769,9.5e-05,0.030647,0.032881,0.000164,0.009924,0.293957,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,5,3,"Success",9e-05,0.110713,0.107383,7.9e-05,0.029991,0.030732,0.000175,0.005908,0.285766,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,6,3,"Success",9.3e-05,0.110609,0.108042,7.7e-05,0.031446,0.034016,0.000283,0.006595,0.291871,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,7,3,"Success",0.000112,0.110918,0.107598,8e-05,0.030998,0.031481,0.000103,0.006317,0.288503,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,8,3,"Success",9e-05,0.110957,0.107313,7.3e-05,0.217177,0.078839,9.5e-05,0.007355,0.522476,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,9,3,"Success",9.6e-05,0.111194,0.107489,7.6e-05,0.028306,0.033446,0.000184,0.00911,0.290784,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,10,3,"Success",9.3e-05,0.1103,0.127061,8e-05,0.029749,0.033813,0.000298,0.005538,0.307799,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,11,3,"Success",0.000106,0.110862,0.107827,8.2e-05,0.029894,0.02941,0.00035,0.006178,0.285199,256,0,256,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,0,4,"Warmup",0.000124,0.135403,0.129039,0.000131,0.032579,0.032895,0.000319,0.008967,0.340214,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,1,4,"Warmup",8e-05,0.13161,0.127436,0.000119,0.032171,0.037723,0.000149,0.007931,0.337866,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,2,4,"Success",8.2e-05,0.130261,0.126705,0.000117,0.032203,0.05543,0.000243,0.009972,0.355987,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,3,4,"Success",9e-05,0.130669,0.12676,0.000114,0.031046,0.031661,0.000167,0.011327,0.332411,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,4,4,"Success",8.6e-05,0.129874,0.150738,0.000124,0.030255,0.034171,0.000229,0.008722,0.35477,512,0,512,0,0
