; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1602080311,"CurrentTimeLocal","Wed Oct  7 16:18:31 2020","Hostname","csk006.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.4e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,71,"Warmup",0.005288,2.53845,2.383979,144.85327,111.158553,112.01824,81.512501,1.089425,455.560851,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,71,"Success",0.005134,2.525052,2.385257,144.617459,111.422618,111.851376,80.098253,1.083265,453.989465,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,71,"Success",0.005639,2.48572,2.417,145.062836,112.260554,112.005287,79.46871,1.057987,454.765047,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,71,"Success",0.004863,2.498021,2.496836,143.052072,111.183405,112.054102,81.462708,1.074548,453.827577,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,5,71,"Success",0.005052,2.518439,2.379296,143.250555,111.818327,112.051713,79.98808,1.089004,453.101838,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,6,71,"Success",0.005464,2.497382,2.4155,143.145435,111.198731,112.134105,81.12231,1.084383,453.604805,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,7,71,"Success",0.005469,2.496491,2.420424,143.158011,111.099854,112.190207,80.334794,1.093153,452.799819,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,8,71,"Success",0.004542,2.517627,2.382362,143.289595,111.106026,112.353437,79.351781,1.064159,452.070627,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,9,71,"Success",0.004399,2.518747,2.380557,145.111946,111.227239,111.87181,81.572806,1.116257,455.805128,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,10,71,"Success",0.004505,2.674993,2.53551,144.629744,115.944626,112.237845,80.496264,1.07283,459.597807,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",47045881,0,0,11,71,"Success",0.004866,2.511766,2.424022,145.092573,115.29431,112.431636,79.618631,1.087411,458.46657,376367048,0,376367048,1.527540191e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,0,66,"Warmup",0.000295,0.039214,0.033244,0.000291,0.024674,0.070875,0.000432,0.002567,0.171925,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,1,66,"Warmup",0.000204,0.033416,0.032063,0.000126,0.05364,0.051008,0.000156,0.002708,0.173625,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,2,66,"Success",0.000207,0.03349,0.032043,0.000121,0.053382,0.070151,0.000211,0.003182,0.193095,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,3,66,"Success",0.000214,0.036567,0.035426,0.000136,0.054794,0.047839,0.000135,0.002813,0.178258,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,4,66,"Success",0.000226,0.036432,0.034718,0.000132,0.052552,0.052138,0.000146,0.003164,0.179838,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,5,66,"Success",0.000219,0.036158,0.035031,0.000133,0.053687,0.051535,0.000145,0.003162,0.180401,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,6,66,"Success",0.000223,0.03612,0.034568,0.000134,0.055418,0.052827,0.000168,0.002975,0.182762,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,7,66,"Success",0.00023,0.036196,0.034669,0.000132,0.056616,0.066737,0.000133,0.002596,0.197625,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,8,66,"Success",0.000202,0.033236,0.031907,0.00012,0.051857,0.049301,0.000104,0.002929,0.16995,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,9,66,"Success",0.000195,0.032997,0.032023,0.000122,0.050689,0.050405,0.00011,0.002925,0.169762,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,10,66,"Success",0.000206,0.033292,0.032124,0.000118,0.052478,0.05235,0.00011,0.002874,0.173849,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,11,66,"Success",0.000195,0.033185,0.031963,0.000121,0.0518,0.051691,0.000221,0.00242,0.171896,2888,0,2888,5.9090167265e-08,0
