; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529504822,"CurrentTimeLocal","Wed Jun 20 16:27:02 2018","Hostname","c01n15","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00012
; "Time_ContextDestroy [ms]", 7.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000334,0.004465,0.002062,0.000136,0.011789,0.010124,0.000111,0.004972,0.034315,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000467,0.005452,0.00213,0.000212,0.029425,0.012874,0.000215,0.004612,0.05585,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000406,0.004663,0.002252,0.000194,0.012784,0.010414,0.000103,0.004907,0.036118,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000338,0.004282,0.002174,0.000132,0.012074,0.010639,0.000106,0.0054,0.035512,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000339,0.004394,0.002201,0.000124,0.011829,0.011031,0.000162,0.004466,0.034891,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000397,0.004779,0.002206,0.000134,0.012479,0.01146,0.000103,0.004846,0.03675,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000349,0.004178,0.002335,0.000133,0.012644,0.010174,0.000121,0.00456,0.034827,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.000375,0.004231,0.002232,0.000127,0.012558,0.010621,0.000101,0.00514,0.035712,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.00035,0.004171,0.002198,0.000128,0.012425,0.010133,9.3e-05,0.004294,0.034125,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000346,0.004221,0.002102,0.000128,0.012434,0.010864,9.3e-05,0.0046,0.035117,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000368,0.004053,0.002172,0.000125,0.012554,0.010054,9.8e-05,0.004691,0.034455,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000347,0.004609,0.00221,0.00013,0.012308,0.010259,9.4e-05,0.004969,0.035261,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000345,0.004156,0.002194,0.000133,0.012439,0.010157,9.1e-05,0.004665,0.034504,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.000487,0.002746,0.001078,0.000202,8.50473,0.580702,0.000287,0.002928,9.093753,512,0,512,0,0
