; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000138,0.015657,0.015409,0.00022,0.000594,0.000552,0.000218,0.000921,0.033988,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000132,0.01573,0.015519,0.000225,0.000586,0.000553,0.000224,0.000904,0.034155,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000132,0.015721,0.015498,0.000235,0.000581,0.000562,0.000234,0.000898,0.03414,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000139,0.015695,0.015511,0.000222,0.000602,0.000548,0.000221,0.00089,0.034111,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000128,0.01565,0.015424,0.000224,0.000588,0.000555,0.000213,0.000888,0.033947,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000128,0.015687,0.015367,0.000226,0.000592,0.000555,0.000228,0.000905,0.033967,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.00013,0.019265,0.015489,0.000225,0.000589,0.000556,0.000227,0.000897,0.03766,6400,0,6400,3.2809306694e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000204,56.687083,0.008099,0.00081,19.711694,0.071319,0.001418,0.007999,76.489537,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.001614,0.026949,0.015317,0.001415,0.00489,0.004344,0.000954,0.003685,0.060201,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000789,0.015064,0.013132,0.000939,0.003765,0.003853,0.000866,0.003248,0.042604,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000563,0.01423,0.012691,0.000908,0.003564,0.044651,0.000233,0.000978,0.078534,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000161,0.004661,0.003898,0.000292,0.001103,0.001134,0.000256,0.000894,0.012673,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000139,0.004335,0.003899,0.000284,0.001067,0.001057,0.000253,0.000906,0.012218,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000138,0.004324,0.00382,0.000274,0.001076,0.00104,0.000267,0.000894,0.012109,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.00014,0.004215,0.003798,0.00028,0.001069,0.001042,0.000274,0.000907,0.012005,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000136,0.00423,0.003808,0.000274,0.001066,0.001035,0.000271,0.000913,0.01201,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.00014,0.00422,0.003837,0.00029,0.001064,0.00105,0.000262,0.000891,0.012027,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000137,0.004212,0.003854,0.000266,0.001058,0.001057,0.000259,0.000914,0.012035,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.00014,0.004241,0.003787,0.000276,0.001063,0.001056,0.000258,0.000921,0.012021,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000137,0.004327,0.003831,0.00027,0.001065,0.001046,0.000267,0.0009,0.012117,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.00014,0.004314,0.003788,0.000282,0.001067,0.001049,0.000271,0.000933,0.012118,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000136,0.004348,0.003851,0.000276,0.001065,0.001049,0.000255,0.000916,0.012176,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.00014,0.00428,0.00381,0.00028,0.001057,0.001055,0.000267,0.000903,0.012065,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000137,0.004253,0.003809,0.000265,0.001056,0.001059,0.00026,0.000924,0.01204,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.00014,0.004339,0.003793,0.000278,0.001063,0.001057,0.000258,0.000922,0.012127,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000145,0.004233,0.003812,0.000283,0.001067,0.001073,0.000265,0.000916,0.012067,8000,0,8000,9.804549698e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000144,0.004156,0.003574,0.000254,0.000988,0.000985,0.00024,0.000877,0.011481,8000,0,8000,9.804549698e-17,0
