; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404363354112,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1586147422,"CurrentTimeLocal","Mon Apr  6 06:30:22 2020","Hostname","csk012.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.1e-05
; "Time_ContextDestroy [ms]", 3.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,8,0,"Success",0.000101,10.132057,9.792066,7.4e-05,0.000207,7.7e-05,0.000101,0.001105,19.926165,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,9,0,"Success",0.000114,10.10317,9.777031,9.1e-05,0.000272,0.019032,0.000149,0.001673,19.902056,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,10,0,"Success",0.000122,10.059463,9.687955,8.7e-05,0.017263,9.6e-05,0.000123,0.002627,19.76838,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,2,0,11,0,"Success",0.00011,10.125392,9.945002,7.2e-05,0.000175,7.6e-05,9.5e-05,0.000981,20.072299,32,0,32,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,0,1,"Warmup",0.000172,12.561367,12.359525,7.8e-05,0.000233,0.000105,8.6e-05,0.000913,24.922867,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,1,1,"Warmup",0.000146,12.674011,12.415457,8.3e-05,0.020405,0.000207,7.1e-05,0.001355,25.112231,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,2,1,"Success",0.000152,12.436047,12.212837,8.1e-05,0.017314,0.000221,7.2e-05,0.001655,24.670026,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,3,1,"Success",0.000127,12.655718,12.381646,7.7e-05,0.000179,9.8e-05,7.1e-05,0.000859,25.039161,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,4,1,"Success",0.000155,12.533715,12.109009,8.3e-05,0.018287,0.000122,7.4e-05,0.001085,24.663057,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,5,1,"Success",0.000135,12.807723,12.276993,7.2e-05,0.018268,0.000128,7.1e-05,0.00125,25.105191,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,6,1,"Success",0.000106,12.710835,12.417062,8.3e-05,0.000213,0.000112,7.3e-05,0.000818,25.129699,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,7,1,"Success",0.000129,12.587966,12.360513,9.2e-05,0.017824,0.000213,6.7e-05,0.001435,24.968771,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,8,1,"Success",0.000152,12.613024,12.261812,8e-05,0.000193,0.000109,6.7e-05,0.00083,24.876665,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,9,1,"Success",0.000144,12.730542,12.259753,8.6e-05,0.017385,0.000124,7.3e-05,0.001265,25.009751,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,10,1,"Success",0.000126,12.67491,12.287786,8e-05,0.034859,0.000236,7.7e-05,0.001828,25.000327,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",2,4,0,11,1,"Success",0.000136,12.575814,12.360581,8.2e-05,0.000179,0.00011,7e-05,0.000813,24.938147,64,0,64,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,0,2,"Warmup",0.000145,10.19279,9.962788,8.8e-05,0.017468,0.018244,9.1e-05,0.003378,20.195576,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,1,2,"Warmup",0.00013,10.566497,9.932656,7.7e-05,0.01929,0.018315,9.3e-05,0.004068,20.541765,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,2,2,"Success",0.000137,10.18337,9.968542,7.5e-05,0.01896,0.019017,8.2e-05,0.004434,20.195331,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,3,2,"Success",0.000155,10.130664,9.976518,8.4e-05,0.016643,0.020252,9.9e-05,0.004347,20.149451,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,4,2,"Success",0.000154,10.041503,10.297437,8.5e-05,0.018117,0.017882,7.7e-05,0.004082,20.379996,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,5,2,"Success",0.000122,10.061133,11.88315,8.3e-05,0.015507,0.017887,8e-05,0.00396,21.982308,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,6,2,"Success",0.000132,10.047986,9.93663,9e-05,0.016994,0.017812,8.1e-05,0.004373,20.02472,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,7,2,"Success",0.000115,10.138041,10.005249,8.5e-05,0.017793,0.018057,7.6e-05,0.003811,20.183735,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,8,2,"Success",0.000143,10.142311,9.889638,8.6e-05,0.018229,0.018184,8.9e-05,0.003954,20.073395,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,9,2,"Success",0.000154,10.18683,10.003394,8.7e-05,0.017049,0.040242,0.000102,0.003616,20.251859,128,0,128,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",4,4,0,10,2,"Success",9.9e-05,10.10371,9.989244,6.4e-05,0.018283,0.019077,9.6e-05,0.003895,20.135105,128,0,128,0,0
