; "SupportedThreads",80,"UsedThreads",80,"TotalMemory",404309733376,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1603178553,"CurrentTimeLocal","Tue Oct 20 09:22:33 2020","Hostname","csk097.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.5e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,5,4,"Success",0.00387,52.072161,49.437684,0.000536,0.110847,0.055452,0.001376,0.061233,101.743753,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,6,4,"Success",0.004071,53.140209,49.556058,0.000311,0.107142,0.058717,0.00038,0.065898,102.933458,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,7,4,"Success",0.0038,50.287715,49.543541,0.000491,0.123405,0.057646,0.00026,0.061965,100.079745,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,8,4,"Success",0.003831,50.373538,52.848754,0.000415,0.108738,0.056613,0.000295,0.058544,103.451281,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,9,4,"Success",0.003849,48.35647,48.562572,0.000605,0.109986,0.05825,0.000395,0.073507,97.166241,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,10,4,"Success",0.003857,50.276998,50.516608,0.000521,0.107547,0.056498,0.000288,0.061931,101.024826,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,4,8,11,4,"Success",0.00384,50.138807,47.513034,0.00036,0.109626,0.056252,0.000593,0.062674,97.885802,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,0,5,"Warmup",0.003952,46.858132,46.085461,0.000701,0.093284,0.061165,0.001714,0.118294,93.223669,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,1,5,"Warmup",0.003892,43.782379,46.186045,0.000631,0.103627,0.059431,0.000889,0.112654,90.250067,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,2,5,"Success",0.0039,43.490605,46.180278,0.000642,0.087509,0.061638,0.000361,0.107451,89.932995,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,3,5,"Success",0.003963,47.067757,42.608091,0.00071,0.090122,0.062888,0.000378,0.115373,89.949914,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,4,5,"Success",0.003961,50.082696,46.244218,0.000862,0.100649,0.060057,0.000674,0.105088,96.598795,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,5,5,"Success",0.003912,50.093763,42.702496,0.000883,0.08603,0.058848,0.000378,0.11309,93.060131,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,6,5,"Success",0.003872,50.056037,46.325182,0.000774,0.095014,0.060375,0.000565,0.109947,96.652699,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,7,5,"Success",0.004264,50.345299,48.974876,0.000649,0.097242,0.061497,0.001311,0.101527,99.5874,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,8,5,"Success",0.003845,43.687421,49.876926,0.000708,0.084835,0.060463,0.000405,0.100876,93.816533,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,9,5,"Success",0.003887,47.396341,42.817583,0.000558,0.091944,0.058358,0.00066,0.113304,90.483478,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,10,5,"Success",0.004058,45.132378,45.989028,0.000694,0.082404,0.061851,0.000508,0.100307,91.371901,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,8,8,11,5,"Success",0.00394,46.791447,48.821013,0.000577,0.098999,0.060093,0.000722,0.112836,95.890348,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,0,6,"Warmup",0.003877,38.62545,37.852683,0.000729,0.113476,0.066629,0.000981,0.193314,76.857919,4096,0,4096,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",8,8,8,1,6,"Warmup",0.004013,38.583813,42.204666,0.002426,0.102898,0.068581,0.001561,0.196234,81.164762,4096,0,4096,0,0
