; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168240,"CurrentTimeLocal","Tue Sep 15 13:10:40 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00042
; "Time_ContextDestroy [ms]", 0.00046
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.00428,0.282121,0.233062,0.372721,0.538223,3.431777,0.336962,0.425922,5.629188,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.01724,0.268742,0.228421,0.717383,0.522483,3.532078,0.338421,0.441043,6.069871,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.017601,0.292761,0.225521,0.698224,0.512642,3.501498,0.334582,0.434282,6.020791,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.01786,0.264661,0.226401,0.701524,0.503262,3.495118,0.335221,0.427083,5.97517,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.017901,0.265061,0.224461,0.702623,0.505742,3.461997,0.356362,0.433822,5.97185,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.01824,0.264722,0.226301,0.709203,0.526503,3.556158,0.336042,0.436622,6.077491,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,7,1,"Success",0.01736,0.268041,0.223681,0.722844,0.496502,3.499538,0.338302,0.428942,5.99909,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,8,1,"Success",0.0189,0.267301,0.225561,0.711624,0.518902,3.581378,0.339462,0.435882,6.10293,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,9,1,"Success",0.01724,0.260381,0.224142,0.701303,0.524323,3.440717,0.339042,0.444902,5.95591,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,10,1,"Success",0.01774,0.267921,0.226061,0.707164,0.505562,3.468518,0.335702,0.435482,5.96803,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,11,1,"Success",0.01786,0.263341,0.223741,0.722764,0.504262,3.472578,0.337521,0.427063,5.97327,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,12,1,"Success",0.018721,0.268881,0.226001,0.712724,0.516602,3.524138,0.338282,0.430742,6.040071,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,13,1,"Success",0.0178,0.269001,0.224921,0.708644,0.517662,3.491198,0.335962,0.432462,6.00181,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,14,1,"Success",0.01752,0.273101,0.224261,0.708924,0.552763,3.548818,0.336341,0.431182,6.09679,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,15,1,"Success",0.01826,0.275602,0.224881,0.706104,0.624523,3.483537,0.350742,0.432822,6.120511,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,16,1,"Success",0.01816,0.274102,0.226161,0.712903,0.506443,3.492697,0.336722,0.433522,6.00483,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,17,1,"Success",0.01796,0.270182,0.225261,0.707563,0.519083,3.448277,0.337322,0.426882,5.95645,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,18,1,"Success",0.01702,0.267322,0.223161,0.705683,0.516863,3.494397,0.338842,0.428642,5.99573,2612288,0,2593080,3.9843041146e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",49,49,135,19,1,"Success",0.01826,0.273842,0.225201,0.715663,0.508263,3.495797,0.338142,0.435482,6.01465,2612288,0,2593080,3.9843041146e-16,0
