; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533795733,"CurrentTimeLocal","Thu Aug  9 09:22:13 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000189
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,4,0,"Success",0.005423,151.158851,154.727124,0.023931,0.74111,0.783687,0.008654,0.002915,307.452366,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,5,0,"Success",0.005613,151.841445,153.273227,0.025771,0.746447,0.730386,0.008307,0.003494,306.635515,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,6,0,"Success",0.005813,153.378169,153.561624,0.026267,0.785777,0.740648,0.009169,0.003651,308.511909,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,7,0,"Success",0.006171,150.509392,153.047616,0.024342,0.975153,1.107327,0.009138,0.00347,305.683287,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,8,0,"Success",0.005631,152.077724,153.002062,0.025484,0.744955,0.737264,0.00853,0.002966,306.605475,215760,0,215760,7.6993389732e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,9,0,"Success",0.005619,150.621952,154.869502,0.024838,0.738491,0.733496,0.008184,0.003071,307.00592,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,10,0,"Success",0.005537,150.889581,153.8823,0.024263,0.740142,0.733874,0.008421,0.002894,306.287999,215760,0,215760,7.6993389732e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",31,29,30,11,0,"Success",0.005744,151.507312,153.634034,0.02425,0.740546,0.732903,0.008377,0.003055,306.657172,215760,0,215760,7.7447171073e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,0,7,"Warmup",0.0018,65.016974,62.753641,0.248328,3.608834,3.664887,0.187713,0.010278,135.49305,1619352,0,1619352,6.511238174e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",49,81,51,1,7,"Warmup",0.012728,66.100508,62.46093,0.20921,3.660644,3.646926,0.196996,0.011154,136.299956,1619352,0,1619352,6.511238174e-08,0
