; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533888122,"CurrentTimeLocal","Fri Aug 10 11:02:02 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000407
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.001766,0.763242,0.539015,0.000143,0.000198,9.2e-05,4.6e-05,0.000475,1.305316,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.001841,0.759436,0.573134,0.000127,0.000176,9.9e-05,5.2e-05,0.000424,1.335638,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.00175,0.761709,0.53841,0.00013,0.000161,9.2e-05,5.5e-05,0.000441,1.30309,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.001747,0.760322,0.547661,0.000117,0.00018,8.9e-05,4.9e-05,0.000399,1.310898,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.0017,0.826133,0.54474,0.000116,0.000163,0.000102,5.3e-05,0.000554,1.373899,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.001728,0.76509,0.538097,0.000111,0.000177,9.6e-05,4e-05,0.000407,1.306094,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.001645,0.767116,0.578093,0.000122,0.000218,0.000102,4.5e-05,0.000397,1.348081,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.001615,0.760356,0.538197,0.00013,0.000201,0.0001,3.5e-05,0.000394,1.301352,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.001487,0.760075,0.538107,0.000127,0.00012,9.8e-05,3.5e-05,0.0004,1.300771,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.001609,0.754961,0.543175,0.000141,0.00015,0.0001,4.5e-05,0.000411,1.300907,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000681,18.268924,15.908794,0.000297,0.00045,0.000199,5.4e-05,0.00131,34.181187,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000544,18.61,16.05376,0.000363,0.000723,0.000199,5.3e-05,0.001148,34.667338,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.002957,18.206543,16.903592,0.000189,0.000468,0.000205,5.7e-05,0.000832,35.115479,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000601,18.164229,15.882628,0.000239,0.000399,0.000187,5.3e-05,0.000838,34.049643,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000602,18.16038,15.794797,0.000227,0.000535,0.000187,5.3e-05,0.00071,33.957978,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.00069,18.130167,16.278298,0.000292,0.001583,0.000311,0.000104,0.0011,34.413106,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.003209,18.144659,15.889215,0.000285,0.000439,0.000185,6.2e-05,0.001034,34.039504,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000617,18.395723,15.88917,0.000242,0.00073,0.000211,5.9e-05,0.000914,34.288328,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000581,18.493185,15.80439,0.000129,0.000373,0.000212,5.3e-05,0.000916,34.300353,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.003072,18.501835,15.760792,0.000354,0.000452,0.000174,5.2e-05,0.000806,34.268059,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.002952,17.75199,15.811381,0.00021,0.000352,0.000204,5.3e-05,0.000901,33.568641,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000607,18.092932,15.832851,0.000219,0.000418,0.000201,5.5e-05,0.000778,33.928575,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.00052,33.069457,28.748163,0.000342,0.000828,0.000267,8.9e-05,0.001546,61.821864,512,0,512,0,0
