; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600167725,"CurrentTimeLocal","Tue Sep 15 13:02:05 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00044
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,19,3,"Success",0.0502,6.544833,5.392468,572.303828,1773.674092,1113.151937,309.330962,10.789494,3791.243434,4295229440,0,2147483648,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,0,4,"Success",0.049361,6.975355,5.065965,2227.37958,4967.953768,4832.751303,1228.180317,12.752584,13281.114253,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,1,4,"Success",0.04966,6.995115,5.124526,2225.064745,5586.452042,4869.427403,1387.292738,12.717304,14093.128253,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,2,4,"Success",0.05774,6.994596,5.117885,2543.048167,4966.637509,4763.904204,1388.322161,13.141287,13687.228689,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,3,4,"Success",0.05496,7.019835,5.165946,2418.422095,6039.460312,4972.640531,1230.557224,13.062486,14686.388549,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,4,4,"Success",0.04624,6.984575,5.103326,2232.568935,4919.8173,4799.779354,1229.795399,14.018911,13208.11906,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,5,4,"Success",0.05046,7.028815,5.102626,2218.791703,5256.610132,4893.647341,1309.974881,13.400648,13704.611146,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,6,4,"Success",0.0509,7.022556,5.149206,2411.40483,4921.104316,4818.174055,1318.855564,13.437908,13495.205135,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,7,4,"Success",0.057901,7.017555,5.113806,2534.592728,4957.267952,4856.890144,1350.564783,13.396087,13724.906456,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,8,4,"Success",0.05544,6.984875,5.129066,2527.429029,4989.83529,4798.821066,1385.077015,13.99805,13727.334931,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,9,4,"Success",0.0555,7.013435,5.173586,2542.07308,5176.594444,5136.37952,1256.053484,12.772064,14136.119653,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,10,4,"Success",0.05074,7.001015,5.127586,2232.094776,5258.529971,4827.207277,1228.689565,13.796809,13572.502539,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,11,4,"Success",0.04628,7.021856,5.132686,2223.684451,5273.779621,4821.259182,1387.759444,14.378772,13733.067672,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,12,4,"Success",0.05562,7.017495,5.138606,2546.774035,5005.291024,4875.63255,1383.785822,13.93455,13837.634642,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,13,4,"Success",0.05138,6.973175,5.164246,2537.083243,5130.191007,4879.853505,1372.819085,10.617114,13942.758075,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,14,4,"Success",0.05658,7.023055,5.161886,2540.456777,4959.305901,4864.507023,1379.423056,13.89827,13769.838168,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,15,4,"Success",0.05384,7.008255,5.114926,2535.947071,4957.488666,4857.698643,1383.775017,14.01789,13761.108608,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,16,4,"Success",0.05688,6.973835,5.175186,2536.057169,4975.632211,4852.518692,1319.375011,13.89533,13709.689354,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,17,4,"Success",0.0536,7.011215,5.092766,2453.573611,4947.713626,4848.189564,1365.995944,14.048271,13641.683897,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,18,4,"Success",0.0537,6.989555,5.141826,2529.929852,4992.810387,5133.661013,1316.813595,13.89131,13999.295978,17180393472,0,8589934592,0,0
"Fftw","Outplace","Real","double",2,"powerof2",32768,32768,0,19,4,"Success",0.054001,6.988775,5.116346,2422.396069,5239.936242,4833.213137,2184.183751,16.324222,14708.218063,17180393472,0,8589934592,0,0
