; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161862,"CurrentTimeLocal","Tue Sep 15 11:24:22 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000269,0.006088,0.00525,0.000215,0.002459,0.002381,0.000191,0.000891,0.018083,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000262,0.006018,0.005279,0.000213,0.002467,0.002244,0.000195,0.000877,0.017894,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000221,0.006011,0.005194,0.000232,0.002445,0.00234,0.00019,0.000887,0.017848,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000205,0.005943,0.005028,0.000226,0.002448,0.002281,0.000189,0.000944,0.017591,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000209,0.005889,0.005087,0.000221,0.002496,0.002358,0.000197,0.000938,0.017722,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000213,0.005859,0.005058,0.000218,0.002465,0.002293,0.000188,0.000939,0.017565,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000203,0.005844,0.004962,0.000214,0.002449,0.002326,0.000189,0.000937,0.017454,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000222,0.005826,0.005033,0.00023,0.002406,0.002255,0.000196,0.000879,0.017374,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000218,0.005845,0.005057,0.000209,0.002441,0.002246,0.000195,0.000937,0.017491,6400,0,6400,1.3113217874e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000209,0.005699,0.004938,0.000226,0.002449,0.002263,0.000192,0.000902,0.017232,6400,0,6400,1.3113217874e-16,0
