; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529481387,"CurrentTimeLocal","Wed Jun 20 09:56:27 2018","Hostname","r02n18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000114
; "Time_ContextDestroy [ms]", 5.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000371,0.002392,0.000906,8.9e-05,0.000187,0.000144,5.1e-05,0.001155,0.00561,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.00036,0.002414,0.00089,8.6e-05,0.000186,0.000141,5.2e-05,0.001168,0.005611,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000353,0.002409,0.000883,9.2e-05,0.000181,0.000141,5.5e-05,0.001151,0.005579,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.00037,0.002378,0.000876,8.5e-05,0.000186,0.000147,5.3e-05,0.001151,0.005565,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.00038,0.002388,0.000901,9e-05,0.000185,0.000186,5.2e-05,0.001154,0.005656,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.00037,0.002379,0.000867,9.1e-05,0.000188,0.000142,5.5e-05,0.001154,0.005555,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000504,0.00319,0.0008,0.000171,0.000299,0.000192,7.5e-05,0.002258,0.007921,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000421,0.0024,0.000783,0.000108,0.000143,9.9e-05,4.1e-05,0.00111,0.005431,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000412,0.002393,0.000742,0.000104,0.000163,0.000101,3.7e-05,0.001099,0.005373,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000414,0.002395,0.000772,0.000108,0.00017,0.0001,3.2e-05,0.001047,0.005341,64,0,64,5.6321095379e-09,0
