; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529492400,"CurrentTimeLocal","Wed Jun 20 13:00:00 2018","Hostname","r02n10","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000105
; "Time_ContextDestroy [ms]", 5.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000344,0.004434,0.002728,9.6e-05,0.016943,0.015217,0.000105,0.006298,0.046532,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000326,0.015106,0.00253,9.5e-05,0.015497,0.015845,0.000104,0.005851,0.055699,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.000319,0.00429,0.002445,9.5e-05,0.015631,0.014072,8.7e-05,0.006892,0.044172,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.00032,0.004408,0.002439,9.4e-05,0.017245,0.014922,0.000185,0.00647,0.046427,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000318,0.00462,0.002695,9.4e-05,0.016849,0.014778,8.6e-05,0.006495,0.046284,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,9,2,"Success",0.000316,0.004789,0.002574,9.2e-05,0.016389,0.035038,0.000192,0.006709,0.066444,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,10,2,"Success",0.000421,0.005036,0.002229,0.000145,0.017276,0.014167,8.5e-05,0.005813,0.045516,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,11,2,"Success",0.000327,0.004189,0.002341,9.3e-05,0.017772,0.015618,0.000182,0.005948,0.046813,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,0,3,"Warmup",0.000399,0.002533,0.00118,0.000202,0.270343,0.182325,0.000228,0.002005,0.459726,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,1,3,"Warmup",0.000458,0.00279,0.000903,0.000133,0.000516,0.000499,0.000112,0.001218,0.007047,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"powerof2",4,4,4,2,3,"Success",0.000349,0.002104,0.000875,0.000112,0.000374,0.000476,9.4e-05,0.001223,0.006,512,0,512,0,0
