; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000123
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000631,0.022122,0.021281,0.000268,0.047428,0.014999,0.000584,0.000923,0.108572,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000618,0.022458,0.021265,0.000256,0.047119,0.014409,0.000588,0.000989,0.108028,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000652,0.022371,0.021315,0.000262,0.04734,0.014365,0.000598,0.000938,0.108177,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000615,0.022253,0.021441,0.000254,0.048982,0.014369,0.000608,0.000986,0.109842,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000612,0.022282,0.021332,0.00025,0.047432,0.014736,0.000578,0.001064,0.108623,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.00061,0.022173,0.021503,0.000246,0.04846,0.014924,0.000601,0.000902,0.109756,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000602,0.022206,0.021597,0.000252,0.048102,0.014706,0.00058,0.000943,0.109324,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000574,0.022291,0.021141,0.000259,0.048815,0.014347,0.00058,0.00091,0.109252,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000635,0.022085,0.021188,0.000255,0.04816,0.014388,0.000619,0.000994,0.108655,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000595,0.02222,0.021206,0.000252,0.042754,0.014543,0.000596,0.001031,0.103533,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000582,0.022101,0.021302,0.00026,0.047828,0.01421,0.000584,0.001014,0.108203,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000586,0.021939,0.021339,0.00025,0.047061,0.014037,0.000603,0.000989,0.107143,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.000637,0.022156,0.021263,0.000271,0.047708,0.014378,0.000577,0.000959,0.108274,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000605,0.02231,0.021205,0.000265,0.048204,0.01423,0.000604,0.00099,0.108745,8000,0,8000,1.259036215e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000588,0.022063,0.021198,0.00026,0.047405,0.014396,0.000572,0.000867,0.107677,8000,0,8000,1.259036215e-16,0
