; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000559,813.172416,811.971556,0.000804,0.036145,0.072019,0.012696,0.015314,1625.286886,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000547,812.859525,809.996654,0.000803,0.042448,0.066037,0.012371,0.017638,1623.001627,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000558,811.730541,810.700812,0.000834,0.051028,0.049627,0.011665,0.015165,1622.568032,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000526,812.896187,809.167563,0.000848,0.03667,0.065187,0.015929,0.017486,1622.20691,6400,0,6400,1.9262703932e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000579,811.927175,810.966988,0.000837,0.044301,0.054414,0.016527,0.014495,1623.029553,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000627,812.670548,809.563135,0.000857,0.050572,0.055189,0.015904,0.023474,1622.381594,6400,0,6400,1.5662722547e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000608,812.411161,809.085814,0.000828,0.052664,0.066068,0.010638,0.017396,1621.647916,6400,0,6400,2.5094174086e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.00058,813.484501,809.588178,0.000867,0.041628,0.056243,0.00528,0.033218,1623.211879,6400,0,6400,1.6502138685e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.00057,811.726135,810.828864,0.000812,0.047965,0.064677,0.015247,0.021901,1622.710545,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000556,811.502921,811.292024,0.000848,0.055664,0.058092,0.005293,0.015349,1622.939917,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000582,811.927794,810.157816,0.000844,0.043813,0.059219,0.016099,0.031835,1622.244024,6400,0,6400,2.0170664777e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000578,812.380054,810.66306,0.000875,0.055084,0.052918,0.010702,0.019013,1623.184938,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000582,811.792609,810.841114,0.000851,0.049331,0.045668,0.000903,0.035187,1622.769972,6400,0,6400,2.0728844309e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.000566,812.1518,812.417495,0.000822,0.058232,0.053648,0.007074,0.022643,1624.721411,6400,0,6400,1.797337581e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000592,812.236629,810.959387,0.000832,0.045565,0.061281,0.01488,0.016838,1623.342684,6400,0,6400,3.5680545915e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000604,814.090411,812.031208,0.000842,0.065199,0.043651,0.001026,0.010865,1626.244668,6400,0,6400,1.6641946929e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000594,811.988651,808.405971,0.000834,0.047157,0.065898,0.015767,0.018207,1620.548418,6400,0,6400,2.4468890636e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.000422,545.79317,547.83976,0.001008,0.045024,0.063352,0.003898,0.048201,1093.805773,8000,0,8000,6.3267004034e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000386,547.381353,551.49122,0.001016,0.065515,0.055576,0.0121,0.02144,1099.037052,8000,0,8000,5.3622356762e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.000517,545.440167,548.762048,0.00101,0.04444,0.072041,0.020246,0.021864,1094.364749,8000,0,8000,5.4461173263e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000625,542.957107,545.191609,0.000955,0.043487,0.066461,0.014681,0.019955,1088.301965,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000416,545.672334,544.619901,0.001055,0.046749,0.06368,0.014605,0.02878,1090.448442,8000,0,8000,5.4315595314e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.0004,544.785775,548.603114,0.001009,0.045926,0.067031,0.017449,0.018609,1093.546983,8000,0,8000,5.2502679274e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000537,543.45855,543.180684,0.001002,0.046366,0.066187,0.012974,0.028434,1086.801198,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000615,543.392597,548.359943,0.001017,0.063588,0.050148,0.01733,0.020374,1091.909674,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000406,542.50406,546.532616,0.001002,0.044781,0.063555,0.015214,0.019579,1089.189119,8000,0,8000,5.6303357492e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000428,543.502882,548.32071,0.000996,0.04843,0.074492,0.005624,0.020126,1091.974708,8000,0,8000,4.9214128304e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000558,543.346096,546.917228,0.000975,0.045635,0.071539,0.017091,0.018568,1090.422171,8000,0,8000,5.4375219645e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000449,543.333798,541.937646,0.001056,0.056823,0.046649,0.019076,0.024355,1085.424458,8000,0,8000,5.3622356762e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000456,544.717636,547.94053,0.001,0.049823,0.05722,0.016103,0.035184,1092.821819,8000,0,8000,5.672747632e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000592,543.188133,542.740701,0.001007,0.0534,0.052482,0.017984,0.021711,1086.086,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000658,542.66974,545.199081,0.000977,0.053002,0.074309,0.003364,0.01892,1088.027175,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000449,542.771272,544.615083,0.000977,0.051125,0.070019,0.011763,0.019132,1087.541299,8000,0,8000,5.672747632e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000424,544.585095,547.005762,0.001029,0.059102,0.048139,0.016572,0.022131,1091.743573,8000,0,8000,5.4461173263e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.000539,545.534706,551.404639,0.000998,0.046539,0.064826,0.025128,0.017954,1097.097643,8000,0,8000,5.672747632e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000637,543.852435,551.870182,0.000994,0.047829,0.066992,0.026771,0.018015,1095.886205,8000,0,8000,5.4461173263e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000564,545.899864,544.836751,0.000998,0.053996,0.057617,0.001094,0.038408,1090.901341,8000,0,8000,4.9474881695e-17,0
