; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503504843,"CurrentTimeLocal","Wed Aug 23 18:14:03 2017","Hostname","taurusi4036","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 0.000168
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",4,8,0,11,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,0,4,"Warmup",0.000856,0.026766,0.018443,0.000341,0.000667,0.000486,0.000208,0.001098,0.050219,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,1,4,"Warmup",0.000854,0.026646,0.018372,0.000322,0.000743,0.000537,0.000219,0.001093,0.050167,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,2,4,"Success",0.000898,0.026788,0.018369,0.000315,0.000754,0.000535,0.000206,0.001131,0.050413,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,3,4,"Success",0.000908,0.026923,0.018487,0.000315,0.000724,0.000494,0.000216,0.0011,0.050568,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,4,4,"Success",0.000934,0.026786,0.018283,0.000327,0.00072,0.000506,0.000204,0.001102,0.050255,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,5,4,"Success",0.000917,0.026766,0.018499,0.000319,0.000708,0.000497,0.000199,0.001127,0.050413,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,6,4,"Success",0.000818,0.025998,0.017956,0.000327,0.000668,0.000483,0.000186,0.001117,0.048849,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,7,4,"Success",0.000806,0.026057,0.017847,0.000331,0.000635,0.000487,0.000195,0.00109,0.048748,512,0,512,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,8,0,8,4,"Success",0.000876,0.025461,0.018225,0.000317,0.000641,0.000497,0.000195,0.001038,0.048593,512,0,512,0,0
