; "SupportedThreads",24,"UsedThreads",1,"TotalMemory",67312496640,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497541002,"CurrentTimeLocal","Thu Jun 15 17:36:42 2017","Hostname","taurusi5027"
; "Time_ContextCreate [ms]", 0.000262
; "Time_ContextDestroy [ms]", 0.000273
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000349,12.629629,11.64747,0.000235,0.000572,0.000447,0.000175,0.00108,24.281299,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000391,12.633438,11.614784,0.000208,0.000585,0.000465,0.000178,0.000987,24.252431,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000319,12.606814,11.650177,0.000251,0.00066,0.000433,0.000175,0.001048,24.261259,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000465,12.682584,11.671289,0.000238,0.000669,0.000469,0.00018,0.00111,24.3584,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000457,12.63784,11.664423,0.000206,0.000657,0.000421,0.000174,0.001069,24.306647,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000495,20.766335,18.909299,0.000299,0.000971,0.000495,0.000197,0.001634,39.681105,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000343,20.763874,18.941811,0.000284,0.000948,0.000526,0.00018,0.001577,39.710949,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000356,20.749672,18.883674,0.000253,0.000928,0.000541,0.000183,0.001538,39.638552,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000456,20.695462,18.884847,0.000276,0.000934,0.000521,0.000178,0.001644,39.585678,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000435,20.741182,18.896148,0.000262,0.000918,0.000527,0.00019,0.001588,39.642609,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000375,20.693153,18.902361,0.000273,0.000954,0.000534,0.000182,0.001591,39.600768,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.000369,20.731059,18.867041,0.000241,0.000898,0.000544,0.000178,0.001573,39.603287,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000336,20.731786,18.915619,0.00025,0.000973,0.000493,0.000181,0.001586,39.652626,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.000425,20.737354,18.899099,0.000241,0.000862,0.000515,0.000176,0.001559,39.641566,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000362,20.799406,18.84317,0.000241,0.000858,0.000487,0.00018,0.0016,39.647677,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.000399,20.747109,18.913674,0.000278,0.00096,0.000491,0.000186,0.00154,39.665983,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.000361,20.821331,18.930365,0.000295,0.000971,0.000503,0.000192,0.0016,39.757046,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.00074,39.37194,35.720339,0.000311,0.001977,0.000804,0.00023,0.002069,75.099842,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.000524,39.389612,35.804395,0.000341,0.001586,0.000756,0.000209,0.002001,75.200812,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.000605,39.392182,35.933909,0.00032,0.002103,0.000798,0.000227,0.002093,75.333659,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.000607,39.385691,35.896867,0.000324,0.001772,0.000878,0.000223,0.002129,75.289849,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.000604,39.561273,35.921199,0.000322,0.001908,0.000852,0.000232,0.002141,75.49003,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.000577,39.813992,35.692486,0.000328,0.001728,0.000784,0.000223,0.002019,75.513482,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",0.00063,39.357557,35.782209,0.000294,0.001724,0.000808,0.000223,0.002147,75.147035,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,7,5,"Success",0.000513,39.404449,35.761454,0.000297,0.001969,0.000758,0.00022,0.001808,75.172832,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,8,5,"Success",0.000638,39.405746,35.748808,0.000274,0.001654,0.000792,0.000219,0.002105,75.161587,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,9,5,"Success",0.000617,39.367522,35.791204,0.0003,0.001672,0.000828,0.000233,0.002123,75.165891,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,10,5,"Success",0.000583,39.410935,35.85563,0.000289,0.001546,0.001215,0.000231,0.001983,75.273768,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,11,5,"Success",0.000502,39.31009,35.725456,0.000359,0.001706,0.000779,0.00022,0.002141,75.042668,1024,0,1024
"Fftw","Inplace","Complex","float",1,"powerof2",256,0,0,0,6,"Warmup",0.000449,55.201367,49.743572,0.000453,0.002642,0.001333,0.000237,0.001997,104.953467,2048,0,2048
