; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",15964327936,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534882441,"CurrentTimeLocal","Tue Aug 21 23:14:01 2018","Hostname","teegema","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000186
; "Time_ContextDestroy [ms]", 7.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000346,0.418007,0.249837,7.2e-05,0.000146,0.0001,6e-05,0.000505,0.669466,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000364,0.428402,0.28224,7.9e-05,0.000137,0.000162,5.9e-05,0.00049,0.712326,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000971,7.978394,7.10122,0.000281,0.000834,0.000454,0.000175,0.18693,15.27046,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.002154,8.022169,7.098857,0.000161,0.000478,0.000253,6.6e-05,0.000991,15.125645,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000499,7.889359,7.11312,0.000135,0.000259,0.000213,5.5e-05,0.000692,15.004883,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000423,7.862334,7.141011,0.000208,0.000806,0.000202,6.7e-05,0.00066,15.006273,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000418,7.844946,7.02807,0.000151,0.000272,0.000211,6.9e-05,0.000555,14.875222,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.002515,7.733405,7.09826,0.000153,0.000349,0.000221,7.4e-05,0.000589,14.836084,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000372,7.850302,7.067491,0.000132,0.000291,0.000205,6.8e-05,0.000566,14.919944,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000367,7.87238,7.13879,0.000132,0.00042,0.000217,6.5e-05,0.000703,15.013675,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000433,7.988216,7.039351,0.000124,0.000424,0.000207,6e-05,0.000706,15.030089,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000435,7.820413,7.090818,9e-05,0.000289,0.00025,6.4e-05,0.000904,14.91387,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.00251,7.862807,7.113029,0.00013,0.000355,0.000217,6.4e-05,0.000674,14.980354,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000153,7.880088,7.150238,0.000123,0.000298,0.000209,7.5e-05,0.000677,15.032386,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000933,15.436302,13.76677,0.000438,0.001418,0.000795,0.000228,0.00165,29.209604,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.00314,15.599122,13.968966,0.000368,0.001231,0.000781,0.000216,0.002248,29.576954,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.003125,15.177173,14.125136,0.000381,0.001423,0.000755,0.000306,0.025451,29.334663,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.003439,15.411228,13.864814,0.00033,0.001154,0.00099,0.000195,0.001715,29.285215,512,0,512,0,0
