; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161863,"CurrentTimeLocal","Tue Sep 15 11:24:23 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000241,92.952843,89.740297,0.000275,0.006761,0.006558,0.000446,0.007152,182.714964,4800,0,4800,4.8768234317e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000268,90.901892,89.131158,0.000264,0.006345,0.005984,0.000452,0.006437,180.053179,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.000309,91.35246,89.700751,0.000268,0.006162,0.005476,0.000367,0.006929,181.073083,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000242,91.820328,89.814111,0.000295,0.006119,0.00541,0.000511,0.00719,181.65458,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000285,90.758286,90.009346,0.000306,0.006437,0.006371,0.000184,0.006476,180.788058,4800,0,4800,6.144489828e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.000345,105.506539,103.594872,0.000308,0.006674,0.006832,0.000572,0.006886,209.123426,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.00018,105.575233,103.519032,0.00042,0.007094,0.00668,0.000498,0.007392,209.116907,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.000259,105.355815,103.789784,0.000421,0.0071,0.006727,0.000582,0.007537,209.168612,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000262,105.448158,103.297262,0.000448,0.00724,0.007154,0.000565,0.00648,208.767931,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000264,105.339166,103.673735,0.000324,0.00624,0.006121,0.000562,0.00757,209.034361,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000309,105.330945,103.804512,0.000437,0.006596,0.006585,0.000543,0.007117,209.157411,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000179,105.382531,103.614972,0.000414,0.006646,0.006202,0.000561,0.00708,209.018952,6400,0,6400,1.9971346004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000273,105.319809,103.120998,0.000396,0.006707,0.00714,0.000627,0.00668,208.462989,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000185,105.456476,103.476342,0.000395,0.00619,0.006516,0.000611,0.006654,208.953737,6400,0,6400,3.5680545915e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000277,106.156431,103.825347,0.000488,0.006992,0.006021,0.000568,0.007348,210.003852,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000254,105.444182,103.712239,0.000368,0.005953,0.006504,0.000584,0.007224,209.177703,6400,0,6400,2.1370182264e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000174,105.548022,105.006507,0.000424,0.007572,0.006496,0.000468,0.007466,210.577505,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.00025,105.419266,103.531369,0.000441,0.006549,0.005804,0.000616,0.007542,208.972207,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000271,105.337359,103.233326,0.000388,0.006223,0.006878,0.000571,0.007261,208.592635,6400,0,6400,2.0728844309e-17,0
