; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.000248,90.452665,89.700765,0.000222,0.005514,0.007322,0.000174,0.006327,180.198355,4800,0,4800,6.6801022664e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.000273,90.61547,87.901258,0.000231,0.005519,0.006236,0.000402,0.006258,178.560414,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.00027,89.672979,88.938986,0.000275,0.005359,0.006494,0.000375,0.007431,178.657165,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.000244,89.815683,88.118942,0.000271,0.005996,0.006076,0.000396,0.007351,177.979873,4800,0,4800,6.4003292269e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,10,2,"Success",0.000277,89.316221,87.848608,0.000239,0.00658,0.005889,0.000441,0.006813,177.210066,4800,0,4800,5.8144106172e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,11,2,"Success",0.000318,91.180256,88.249162,0.00024,0.005453,0.005562,0.000428,0.006779,179.473115,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,12,2,"Success",0.000273,89.188494,87.767617,0.000218,0.006145,0.006187,0.000451,0.007126,177.001465,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,13,2,"Success",0.000274,89.868811,88.156142,0.000242,0.005832,0.006323,0.000211,0.007787,178.07079,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,14,2,"Success",0.000246,90.118199,88.277606,0.000213,0.007168,0.005771,0.000383,0.006666,178.441553,4800,0,4800,5.2895515736e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,15,2,"Success",0.000258,90.332588,88.193073,0.00025,0.006055,0.006268,0.000437,0.007168,178.570564,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,16,2,"Success",0.000252,90.343687,88.309402,0.000227,0.005691,0.005544,0.00044,0.007251,178.697445,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,17,2,"Success",0.000317,91.059853,88.183335,0.000215,0.0064,0.005754,0.000459,0.007254,179.287978,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,18,2,"Success",0.000264,89.366625,88.137834,0.000219,0.005887,0.006301,0.000463,0.007123,177.549875,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",300,0,0,19,2,"Success",0.000258,89.676268,88.783678,0.000233,0.005365,0.005207,0.000396,0.006683,178.503088,4800,0,4800,5.0409311276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,0,3,"Success",0.00025,103.892129,101.949627,0.000391,0.005742,0.006121,0.000557,0.007298,205.887325,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,1,3,"Success",0.000226,103.696044,102.012013,0.000377,0.005843,0.006465,0.000554,0.007436,205.754246,6400,0,6400,1.8319050773e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,2,3,"Success",0.00029,103.993416,102.249383,0.000408,0.006635,0.006258,0.000562,0.006976,206.289175,6400,0,6400,1.8319050773e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,3,3,"Success",0.000256,105.202392,102.226207,0.000349,0.005668,0.006183,0.000623,0.006925,207.474045,6400,0,6400,3.8957734519e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,4,3,"Success",0.000231,104.697462,101.225184,0.000404,0.005783,0.006023,0.000545,0.006574,205.967807,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,5,3,"Success",0.000268,103.904099,101.995357,0.000328,0.006169,0.007183,0.000559,0.007736,205.947226,6400,0,6400,1.8319050773e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,6,3,"Success",0.000222,104.202589,101.780809,0.000386,0.006033,0.00663,0.000553,0.006867,206.029265,6400,0,6400,2.1370182264e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,7,3,"Success",0.000326,104.265992,102.023102,0.000369,0.006162,0.006951,0.000562,0.0067,206.334649,6400,0,6400,1.9971346004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,8,3,"Success",0.000219,103.954717,102.104179,0.000388,0.005789,0.006475,0.000523,0.007113,206.104708,6400,0,6400,2.4844755474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,9,3,"Success",0.000217,103.987141,102.329845,0.000387,0.006321,0.006879,0.000558,0.007753,206.364326,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,10,3,"Success",0.000254,104.257994,102.023161,0.000382,0.006009,0.006826,0.000578,0.007349,206.327511,6400,0,6400,1.6502138685e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,11,3,"Success",0.000217,104.136746,102.148811,0.000328,0.005867,0.006171,0.000611,0.00784,206.331749,6400,0,6400,1.9971346004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,12,3,"Success",0.000314,105.211148,102.05215,0.000371,0.007142,0.006347,0.000566,0.007049,207.309977,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,13,3,"Success",0.000226,103.852472,101.711676,0.000383,0.005838,0.006896,0.000586,0.007773,205.611952,6400,0,6400,2.0728844309e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,14,3,"Success",0.000236,104.159056,102.065562,0.000375,0.006119,0.005904,0.000549,0.007662,206.270429,6400,0,6400,2.1171212814e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,15,3,"Success",0.000217,103.724144,102.184952,0.000416,0.006027,0.006393,0.000471,0.007096,205.954763,6400,0,6400,1.8319050773e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,16,3,"Success",0.00025,103.952279,101.996513,0.000381,0.00601,0.006431,0.000561,0.00751,205.995392,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,17,3,"Success",0.000285,105.377319,101.893218,0.0004,0.006673,0.006209,0.000543,0.007026,207.316534,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,18,3,"Success",0.000262,103.966721,102.405227,0.000344,0.005902,0.006758,0.000544,0.006794,206.418204,6400,0,6400,1.5364024368e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",400,0,0,19,3,"Success",0.000213,103.901886,103.143814,0.000344,0.006187,0.006647,0.000543,0.007146,207.092111,6400,0,6400,1.9854995463e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,0,4,"Success",0.00026,63.443978,62.444382,0.000354,0.00702,0.007186,0.000664,0.005824,125.934924,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,1,4,"Success",0.000277,63.317368,62.572808,0.00041,0.007609,0.007373,0.000674,0.004752,125.936248,8000,0,8000,5.4315595314e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,2,4,"Success",0.00034,63.415129,62.491223,0.000404,0.007378,0.0075,0.000672,0.005171,125.95251,8000,0,8000,4.9892348562e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,3,4,"Success",0.000271,63.578066,62.43726,0.000389,0.007217,0.007908,0.000681,0.005181,126.062961,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.00026,65.434696,62.665622,0.000336,0.007139,0.008671,0.000277,0.005221,128.147282,8000,0,8000,6.292895425e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000293,66.747326,62.551865,0.000421,0.00733,0.008715,0.000278,0.005623,129.347067,8000,0,8000,4.9305661137e-17,0
