; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161580,"CurrentTimeLocal","Tue Sep 15 11:19:40 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,7,2,"Success",0.40696,4.203092,3.486003,198.265011,162.157989,163.402577,109.482556,3.064901,644.470393,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,8,2,"Success",0.415907,4.19466,3.481136,198.234052,164.077875,165.187974,109.79266,3.078152,648.463694,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,9,2,"Success",0.407782,4.193685,3.483809,199.303039,163.007425,164.832396,110.282749,3.126543,648.638972,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,10,2,"Success",0.407614,4.196152,3.484055,199.294384,162.462162,163.587737,108.004706,3.096032,644.534511,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,11,2,"Success",0.407173,4.202011,3.482934,198.412316,162.533672,163.403682,110.330964,3.087627,645.862062,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,12,2,"Success",0.417159,4.20018,3.491262,198.200944,162.580177,163.553491,108.957465,3.076875,644.479143,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,13,2,"Success",0.409463,4.188771,3.487203,197.488522,162.701867,163.754946,109.287191,3.064111,644.383959,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,14,2,"Success",0.406361,4.202025,3.487723,198.558783,162.959928,163.926308,108.691299,3.065661,645.299797,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,15,2,"Success",0.414165,4.197849,3.48364,197.979633,161.427332,162.316014,108.999246,3.067119,641.886817,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,16,2,"Success",0.417068,4.20004,3.480048,198.165365,161.798308,162.88302,109.174415,3.051104,643.171328,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,17,2,"Success",0.407547,4.194414,3.490363,197.79803,162.542354,163.590551,109.222304,3.060968,644.30849,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,18,2,"Success",0.406697,4.192168,3.486139,198.470547,163.223363,164.093815,110.12509,3.089634,647.088905,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,19,2,"Success",0.408311,4.193115,3.482033,198.425473,161.588247,162.842171,109.277617,3.091597,643.31023,1073872896,0,536870912,2.7755575822e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,0,3,"Success",0.41014,4.620932,3.777359,788.467939,534.035901,534.37787,440.264758,10.415715,2316.371592,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,1,3,"Success",0.415515,4.609982,3.724263,791.963655,533.266706,532.94899,437.064234,10.344543,2314.339137,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,2,3,"Success",0.412254,4.604071,3.715858,790.686271,534.003521,533.768683,439.858376,10.384109,2317.434365,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,3,3,"Success",0.419447,4.616822,3.714544,792.188688,531.994917,531.896875,430.101624,10.385845,2305.319978,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,4,3,"Success",0.407854,4.631238,3.728521,791.166557,536.072975,536.61948,437.115874,10.356684,2320.100578,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,5,3,"Success",0.408052,4.617157,3.727387,789.78845,536.133739,536.2775,439.061388,10.392131,2320.406608,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,6,3,"Success",0.353538,4.618184,3.729631,786.548423,537.40046,536.583926,440.42258,10.361678,2320.01963,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,7,3,"Success",0.415732,4.605237,3.725818,791.949819,533.283684,532.451359,435.968433,10.315194,2312.716647,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,8,3,"Success",0.407289,4.625978,3.723294,791.29389,533.18591,533.34386,438.229653,10.396407,2315.207929,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,9,3,"Success",0.407656,4.632488,3.726832,792.751396,534.551775,534.654097,439.106802,10.361975,2320.195143,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,10,3,"Success",0.408533,4.621515,3.716798,791.097739,533.658696,534.441539,439.365553,10.445024,2317.757093,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,11,3,"Success",0.407099,4.604206,3.707534,787.705539,535.601253,536.072061,439.467132,10.423566,2317.990086,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,12,3,"Success",0.406077,4.636852,3.724067,792.234779,532.684337,533.559665,440.523007,10.451212,2318.221773,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,13,3,"Success",0.417981,4.609472,3.715608,789.528649,534.952224,535.028695,438.02557,10.312277,2316.59234,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,14,3,"Success",0.401384,4.613048,3.742943,790.15325,534.812855,533.875429,440.416567,10.402436,2318.419978,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,15,3,"Success",0.408984,4.62668,3.707231,791.43963,535.52396,535.983143,435.678381,10.376421,2317.745646,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,16,3,"Success",0.407812,4.624502,3.71973,792.170886,537.831552,537.565679,439.085624,10.347797,2325.755341,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,17,3,"Success",0.415582,4.601111,3.72694,791.824181,535.860112,535.70538,435.699371,10.442173,2318.27645,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,18,3,"Success",0.414092,4.617781,3.714428,790.280046,536.945473,536.55269,439.808368,10.371022,2322.705324,4295229440,0,2147483648,2.7755575667e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",16384,16384,0,19,3,"Success",0.4111,4.800864,3.712518,792.61504,532.972105,532.66859,435.840965,10.412117,2313.434983,4295229440,0,2147483648,2.7755575667e-17,0
